description,merchant,amount,txn_type,txn_date
Internet Provider,BSNL,500,debit,2026-01-02
Salary Credit,Company XYZ,45000,credit,2026-01-01
Water Bill,Municipality,750,debit,2026-01-03
Grocery Shopping,Whole Foods,1200,debit,2026-01-04
Rent,Landlord,15000,debit,2026-01-05
Uber Ride,Uber,850,debit,2026-01-06
Zomato Order,Zomato,1200,debit,2026-01-07
Electricity Bill,Power Corp,2500,debit,2026-01-08
Phone Recharge,Airtel,599,debit,2026-01-09
Netflix Subscription,Netflix,499,debit,2026-01-10
Amazon Purchase,Amazon,3200,debit,2026-01-11
Coffee Shop,Starbucks,450,debit,2026-01-12
Gym Membership,FitLife,2500,debit,2026-01-13
Restaurant Dinner,Fine Dining,2200,debit,2026-01-14
Gas Refill,Petrol Pump,3500,debit,2026-01-15
Credit Card Bill,Amex,12000,debit,2026-01-16
Grocery Shopping,Whole Foods,950,debit,2026-01-17
Taxi Fare,Ola,650,debit,2026-01-18
Movie Tickets,Cinema,800,debit,2026-01-19
Online Course,Coursera,999,debit,2026-01-20
